data,year,week,week_startdate,alpha,beta,gamma,kappa,delta,other
WGS,2020,49,2020-11-30,0,0,0,0,0,33
WGS,2020,50,2020-12-07,0,0,0,0,0,1
WGS,2020,51,2020-12-14,0,0,0,0,0,92
WGS,2020,52,2020-12-21,3,0,0,0,0,6
WGS,2020,53,2020-12-28,0,0,0,0,0,80
WGS,2021,1,2021-01-04,7,0,0,0,0,91
WGS,2021,2,2021-01-11,8,1,0,0,0,95
WGS,2021,3,2021-01-18,64,13,0,0,0,402
WGS,2021,4,2021-01-25,157,28,2,0,0,394
WGS,2021,5,2021-02-01,390,43,8,0,0,515
WGS,2021,6,2021-02-08,348,74,15,0,0,398
WGS,2021,7,2021-02-15,540,64,26,0,0,442
WGS,2021,8,2021-02-22,709,97,27,0,0,422
WGS,2021,9,2021-03-01,640,95,31,0,0,253
WGS,2021,10,2021-03-08,1032,79,34,0,0,221
WGS,2021,11,2021-03-15,1132,72,67,0,0,144
WGS,2021,12,2021-03-22,1495,78,74,0,0,159
WGS,2021,13,2021-03-29,1326,51,79,0,0,116
WGS,2021,14,2021-04-05,1276,36,135,1,2,89
WGS,2021,15,2021-04-12,1322,25,133,0,1,130
WGS,2021,16,2021-04-19,1259,34,115,0,5,102
WGS,2021,17,2021-04-26,1398,20,89,2,10,92
WGS,2021,18,2021-05-03,1275,20,115,1,6,70
WGS,2021,19,2021-05-10,1067,15,99,0,12,51
WGS,2021,20,2021-05-17,1143,6,146,0,18,48
WGS,2021,21,2021-05-24,798,10,103,0,44,44
WGS,2021,22,2021-05-31,701,12,81,1,58,19
WGS,2021,23,2021-06-07,375,7,58,0,89,13
WGS,2021,24,2021-06-14,107,1,8,0,17,1
VOC_PCR,2021,23,2021-06-07,98,1,2,0,9,1
VOC_PCR,2021,24,2021-06-14,18,0,3,0,8,1
