"REGION","GENDER","POP","AGEGROUP"
"Brussels","F",80026,"0-9"
"Brussels","M",83715,"0-9"
"Brussels","All",163741,"0-9"
"Flanders","F",343998,"0-9"
"Flanders","M",359948,"0-9"
"Flanders","All",703946,"0-9"
"Wallonia","F",196413,"0-9"
"Wallonia","M",204968,"0-9"
"Wallonia","All",401381,"0-9"
"Belgium","F",620437,"0-9"
"Belgium","M",648631,"0-9"
"Belgium","All",1269068,"0-9"
"Brussels","F",68716,"10-19"
"Brussels","M",71746,"10-19"
"Brussels","All",140462,"10-19"
"Flanders","F",351931,"10-19"
"Flanders","M",370121,"10-19"
"Flanders","All",722052,"10-19"
"Wallonia","F",213918,"10-19"
"Wallonia","M",223822,"10-19"
"Wallonia","All",437740,"10-19"
"Belgium","F",634565,"10-19"
"Belgium","M",665689,"10-19"
"Belgium","All",1300254,"10-19"
"Brussels","F",93565,"20-29"
"Brussels","M",88375,"20-29"
"Brussels","All",181940,"20-29"
"Flanders","F",385095,"20-29"
"Flanders","M",395021,"20-29"
"Flanders","All",780116,"20-29"
"Wallonia","F",219470,"20-29"
"Wallonia","M",226119,"20-29"
"Wallonia","All",445589,"20-29"
"Belgium","F",698130,"20-29"
"Belgium","M",709515,"20-29"
"Belgium","All",1407645,"20-29"
"Brussels","F",100893,"30-39"
"Brussels","M",99190,"30-39"
"Brussels","All",200083,"30-39"
"Flanders","F",415174,"30-39"
"Flanders","M",416192,"30-39"
"Flanders","All",831366,"30-39"
"Wallonia","F",230802,"30-39"
"Wallonia","M",230039,"30-39"
"Wallonia","All",460841,"30-39"
"Belgium","F",746869,"30-39"
"Belgium","M",745421,"30-39"
"Belgium","All",1492290,"30-39"
"Brussels","F",83834,"40-49"
"Brussels","M",89943,"40-49"
"Brussels","All",173777,"40-49"
"Flanders","F",423103,"40-49"
"Flanders","M",429734,"40-49"
"Flanders","All",852837,"40-49"
"Wallonia","F",238519,"40-49"
"Wallonia","M",239406,"40-49"
"Wallonia","All",477925,"40-49"
"Belgium","F",745456,"40-49"
"Belgium","M",759083,"40-49"
"Belgium","All",1504539,"40-49"
"Brussels","F",69965,"50-59"
"Brussels","M",72909,"50-59"
"Brussels","All",142874,"50-59"
"Flanders","F",467423,"50-59"
"Flanders","M",479046,"50-59"
"Flanders","All",946469,"50-59"
"Wallonia","F",251896,"50-59"
"Wallonia","M",249389,"50-59"
"Wallonia","All",501285,"50-59"
"Belgium","F",789284,"50-59"
"Belgium","M",801344,"50-59"
"Belgium","All",1590628,"50-59"
"Brussels","F",53482,"60-69"
"Brussels","M",47259,"60-69"
"Brussels","All",100741,"60-69"
"Flanders","F",406635,"60-69"
"Flanders","M",401240,"60-69"
"Flanders","All",807875,"60-69"
"Wallonia","F",228028,"60-69"
"Wallonia","M",210495,"60-69"
"Wallonia","All",438523,"60-69"
"Belgium","F",688145,"60-69"
"Belgium","M",658994,"60-69"
"Belgium","All",1347139,"60-69"
"Brussels","F",37534,"70-79"
"Brussels","M",27919,"70-79"
"Brussels","All",65453,"70-79"
"Flanders","F",300548,"70-79"
"Flanders","M",268823,"70-79"
"Flanders","All",569371,"70-79"
"Wallonia","F",159050,"70-79"
"Wallonia","M",130417,"70-79"
"Wallonia","All",289467,"70-79"
"Belgium","F",497132,"70-79"
"Belgium","M",427159,"70-79"
"Belgium","All",924291,"70-79"
"Brussels","F",24627,"80-89"
"Brussels","M",13935,"80-89"
"Brussels","All",38562,"80-89"
"Flanders","F",204681,"80-89"
"Flanders","M",139398,"80-89"
"Flanders","All",344079,"80-89"
"Wallonia","F",98583,"80-89"
"Wallonia","M",58166,"80-89"
"Wallonia","All",156749,"80-89"
"Belgium","F",327891,"80-89"
"Belgium","M",211499,"80-89"
"Belgium","All",539390,"80-89"
"Brussels","F",7907,"90+"
"Brussels","M",2715,"90+"
"Brussels","All",10622,"90+"
"Flanders","F",50057,"90+"
"Flanders","M",20975,"90+"
"Flanders","All",71032,"90+"
"Wallonia","F",26704,"90+"
"Wallonia","M",9039,"90+"
"Wallonia","All",35743,"90+"
"Belgium","F",84668,"90+"
"Belgium","M",32729,"90+"
"Belgium","All",117397,"90+"
