sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_501Y.V1,baselinesurv_n_501Y.V2,activesurv_total_sequenced,activesurv_n_501Y.V2,activesurv_total_501Y.V3
30/11-6/12 (w 49),2020,49,2020-12-03,33,0,0,74,3,0
7/12-13/12 (w 50),2020,50,2020-12-10,1,0,0,109,0,0
14/12–20/12 (w 51),2020,51,2020-12-17,92,0,0,126,1,1
21/12-27/12 (w 52),2020,52,2020-12-24,22,3,0,48,11,1
28/12–3/01 (w 53),2020,53,2020-12-31,80,0,0,69,26,7
4/01–10/01 (w 1),2021,1,2021-01-07,98,7,0,139,37,8
11/01–17/01 (w 2),2021,2,2021-01-14,100,8,1,477,241,37
18/01-24/01 (w 3),2021,3,2021-01-21,405,54,8,515,345,11
25/01 – 31/01 (w 4),2021,4,2021-01-28,339,68,11,337,211,0
01/02 – 07/02 (w 5),2021,5,2021-02-04,128,44,6,117,15,13
