"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.1) - Beta",0.0936959044690647,0.00123063392803639,NA,0.0912839062919603,0.0961079026461691,0
"Omicron (BA.1) - Alpha",0.085016570011348,0.00141937270003849,NA,0.0822346506386332,0.0877984893840628,0
"Omicron (BA.1) - Other",0.0995438176421374,0.00123925035362793,NA,0.0971149315811981,0.101972703703077,0
"Omicron (BA.1) - Delta",0.0671409623253919,0.00115717446197088,NA,0.0648729420560995,0.0694089825946844,0
"Omicron (BA.1) - Omicron (BA.2)",-0.0657313674767153,0.00118748239899356,NA,-0.0680587902110179,-0.0634039447424127,0
"Omicron (BA.1) - Omicron (BA.3)",-0.00703744425547158,0.00374912733549272,NA,-0.0143855988064919,0.000310710295548761,0.0605059488843833
"Omicron (BA.1) - Omicron (BA.1.1, with S:R346K)",-0.013970994599128,0.00153010617328054,NA,-0.0169699475912802,-0.0109720416069757,6.80355441461819e-20
"Omicron (BA.1) - Omicron (BA.4)",-0.157957905038711,0.00379866348941816,NA,-0.165403148667358,-0.150512661410064,0
"Omicron (BA.1) - Omicron (BA.5)",-0.172879650759613,0.00588331543672419,NA,-0.184410737125281,-0.161348564393945,8.60627893480336e-190
"Beta - Alpha",-0.00867933445771672,0.00075035994461535,NA,-0.0101500129246043,-0.00720865599082917,6.06378135571129e-31
"Beta - Other",0.00584791317307269,0.000166264661445893,NA,0.005522040424737,0.00617378592140839,5.30051864725602e-271
"Beta - Delta",-0.0265549421436728,0.000404719035904454,NA,-0.0273481768779033,-0.0257617074094422,0
"Beta - Omicron (BA.2)",-0.15942727194578,0.00171635595566753,NA,-0.162791267803539,-0.156063276088021,0
"Beta - Omicron (BA.3)",-0.100733348724536,0.00392011139895741,NA,-0.108416625881878,-0.0930500715671948,1.27733263475429e-145
"Beta - Omicron (BA.1.1, with S:R346K)",-0.107666899068193,0.00193933458234881,NA,-0.111467925003569,-0.103865873132816,0
"Beta - Omicron (BA.4)",-0.251653809507775,0.00399579404236826,NA,-0.259485421920457,-0.243822197095094,0
"Beta - Omicron (BA.5)",-0.266575555228678,0.00601247554456853,NA,-0.27835979075396,-0.254791319703396,0
"Alpha - Other",0.0145272476307894,0.000760678569459724,NA,0.0130363450308369,0.0160181502307419,2.63614628478765e-81
"Alpha - Delta",-0.017875607685956,0.000814522976221428,NA,-0.0194720433839304,-0.0162791719879817,9.43447948138663e-107
"Alpha - Omicron (BA.2)",-0.150747937488063,0.00185634938470856,NA,-0.154386315424815,-0.147109559551311,0
"Alpha - Omicron (BA.3)",-0.0920540142668196,0.00398338731234111,NA,-0.0998613099354819,-0.0842467185981572,3.71761311254496e-118
"Alpha - Omicron (BA.1.1, with S:R346K)",-0.0989875646104759,0.00206426648251985,NA,-0.103033452570708,-0.0949416766502439,0
"Alpha - Omicron (BA.4)",-0.242974475050059,0.00405789677438214,NA,-0.250927806580829,-0.235021143519288,0
"Alpha - Omicron (BA.5)",-0.257896220770961,0.00605392580194242,NA,-0.269761697307846,-0.246030744234076,0
"Other - Delta",-0.0324028553167454,0.000430303764122534,NA,-0.0332462351968376,-0.0315594754366533,0
"Other - Omicron (BA.2)",-0.165275185118853,0.00172254444755676,NA,-0.168651310197833,-0.161899060039872,0
"Other - Omicron (BA.3)",-0.106581261897609,0.00392282544653321,NA,-0.114269858490451,-0.0988926653047666,1.48928414251287e-162
"Other - Omicron (BA.1.1, with S:R346K)",-0.113514812241265,0.00194481363584894,NA,-0.117326576924172,-0.109703047558359,0
"Other - Omicron (BA.4)",-0.257501722680848,0.00399845615469058,NA,-0.265338552737804,-0.249664892623892,0
"Other - Omicron (BA.5)",-0.27242346840175,0.00601424506925494,NA,-0.284211172131688,-0.260635764671813,0
"Delta - Omicron (BA.2)",-0.132872329802107,0.00166447537809691,NA,-0.136134641596331,-0.129610018007884,0
"Delta - Omicron (BA.3)",-0.0741784065808635,0.00389766501693876,NA,-0.0818176896378652,-0.0665391235238618,9.35389506882624e-81
"Delta - Omicron (BA.1.1, with S:R346K)",-0.0811119569245199,0.00189357959485414,NA,-0.084823304732294,-0.0774006091167459,0
"Delta - Omicron (BA.4)",-0.225098867364103,0.00397378557412656,NA,-0.232887343971676,-0.21731039075653,0
"Delta - Omicron (BA.5)",-0.240020613085005,0.00599787161753066,NA,-0.25177622543926,-0.22826500073075,0
"Omicron (BA.2) - Omicron (BA.3)",0.0586939232212437,0.0038403302206668,NA,0.051167014299996,0.0662208321424914,9.84120384579033e-53
"Omicron (BA.2) - Omicron (BA.1.1, with S:R346K)",0.0517603728775873,0.00169528767311765,NA,0.048437670094842,0.0550830756603327,9.83066284497137e-205
"Omicron (BA.2) - Omicron (BA.4)",-0.0922265375619954,0.00358375844259859,NA,-0.09925057503878,-0.0852025000852108,4.79632593044787e-146
"Omicron (BA.2) - Omicron (BA.5)",-0.107148283282898,0.00574709734392356,NA,-0.118412387092634,-0.0958841794731617,1.41547143869562e-77
"Omicron (BA.3) - Omicron (BA.1.1, with S:R346K)",-0.0069335503436564,0.00397312962427705,NA,-0.0147207413131486,0.00085364062583577,0.0809656310106988
"Omicron (BA.3) - Omicron (BA.4)",-0.150920460783239,0.00526869944007584,NA,-0.161246921931154,-0.140593999635324,1.86475279104091e-180
"Omicron (BA.3) - Omicron (BA.5)",-0.165842206504141,0.00692405833050289,NA,-0.179413111458782,-0.152271301549501,8.89431725368266e-127
"Omicron (BA.1.1, with S:R346K) - Omicron (BA.4)",-0.143986910439583,0.00398728956000694,NA,-0.151801854373129,-0.136171966506037,1.49816640626149e-285
"Omicron (BA.1.1, with S:R346K) - Omicron (BA.5)",-0.158908656160485,0.00600630087685563,NA,-0.170680789559433,-0.147136522761537,3.03177318697321e-154
"Omicron (BA.4) - Omicron (BA.5)",-0.0149217457209023,0.00583583889058955,NA,-0.026359779766036,-0.00348371167576856,0.0105604929252991
